Description,PROV,CLIMATE ID,THREE LETTER ID
YELLOW GRASS,SK,4019040,
YORKTON RCS,SK,4019073,PRJ
TONKIN,SK,4019082,
WYNYARD (AUT),SK,40190LN,WOY
WEYBURN,SK,401HP5R,WWF
CUTBANK,SK,401JR89,
ASSINIBOIA AIRPORT,SK,4020286,WJI
BEECHY,SK,4020560,
CYPRESS HILLS,SK,4021996,
ELBOW CS,SK,4022359,WOK
ELBOW 2 NE,SK,4022363,
HIGH POINT,SK,4023240,
LUCKY LAKE,SK,4024714,WLE
MAPLE CREEK,SK,4024919,WMQ
ROCK POINT,SK,4026847,
STEWART VALLEY,SK,4027775,
SWIFT CURRENT CDA,SK,4028060,WVC
LEADER AIRPORT,SK,402DAF0,WJX
CLAYDON,SK,4031581,
CORONACH,SK,4031844,
CORONACH SPC,SK,40318MN,WAQ
CYPRESS HILLS PARK,SK,4031999,WVP
EASTEND CYPRESS (AUT),SK,4032322,WEH
MANKOTA,SK,4034910,PMK
ROCKGLEN (AUT),SK,4036844,WKO
TREELON,SK,4038116,
VAL MARIE SOUTHEAST,SK,4038412,WVN
BICKLEIGH,SK,4040587,
BUTTE ST PIERRE,SK,4041000,
MACKLIN,SK,4044850,
NORTH BATTLEFORD RCS,SK,4045607,PQW
ROSETOWN EAST,SK,4046884,WRJ
SCOTT CDA,SK,4047240,WTS
SONNINGDALE,SK,4047644,
WASECA,SK,4048520,
WASECA RCS,SK,4048521,PWX
HOEY,SK,4053264,
MELFORT,SK,4055079,WFF
OUTLOOK PFRA,SK,4055736,WYE
PILGER,SK,4056121,PUN
SASKATOON RCS,SK,4057165,POX
BEACON HILL,SK,4060452,
BUFFALO NARROWS (AUT),SK,4060983,WVT
CIGAR LAKE,SK,4061570,
COLLINS BAY,SK,4061620,WWC
COLLINS BAY,SK,4061629,
COLLINS BAY CAMECO,SK,4061632,
ISLAND FALLS (AUT),SK,4063605,PIF
KEY LAKE, SK,SK,4063753,PLS
KEY LAKE,SK,4063755,
LA RONGE RCS,SK,4064149,XOX
LOON LAKE RCS,SK,4064620,PIL
SOUTHEND,SK,4067655,WJH
SPIRITWOOD WEST,SK,4067723,WSR
WASKESIU LAKE,SK,4068559,WLV
MEADOW LAKE,SK,406N0NM,WLJ
URANIUM CITY (AUT),SK,406QLD0,WDC
NIPAWIN,SK,407N51G,WBU
HUDSON BAY (AUT),SK,4083324,ZHB
MCKAGUE 2,SK,4085052,
PELLY,SK,4086000,
PELLY 2,SK,4086001,
BLANCHARD RIVER,YT,2100163,
BURWASH AIRPORT AUTO,YT,2100184,VBR
CARMACKS CS,YT,2100301,XCK
FARO (AUT),YT,2100518,WUM
HAINES JUNCTION,YT,2100630,WHT
HERSCHEL ISLAND,YT,2100636,WJN
IVVAVIK NAT. PARK,YT,2100660,WOI
MACMILLAN PASS,YT,2100693,WNV
MARGARET LAKE,YT,2100697,WZR
MAYO ROAD,YT,2100709,
MCQUESTEN,YT,2100719,
OLD CROW RCS,YT,2100805,ZOC
OTTER FALLS NCPC,YT,2100840,
PELLY RANCH,YT,2100880,
ROCK RIVER,YT,2100935,WRR
HOUR LAKE,YT,2100FCG,
DAWSON,YT,2100LRP,WON
TAKHINI RIVER RANCH,YT,2101095,
TESLIN (AUT),YT,2101102,WZW
TUCHITUA,YT,2101135,
WATSON LAKE (AUT),YT,2101204,XQH
WHITEHORSE AUTO,YT,2101310,VXY

